,noise,cutoff,true_model,algo,best_model_AIC,best_model_AICc,best_model_BIC,mean_err_AIC,mean_err_AICc,mean_err_BIC
0,5,90,rw1,COBYLA,rw1,rw1,rw1,0.8766680407734454,0.8766680407734454,0.8766680407734454
0,5,90,rw1_att,COBYLA,ph_basic,ph_basic,ph_basic,4.030700429313392,4.030700429313392,4.030700429313392
0,5,90,rw2_val,COBYLA,rw1,rw1,rw1,4.359522040163918,4.359522040163918,4.359522040163918
0,5,90,ph_basic,COBYLA,rw1,rw1,rw1,2.6995896702894835,2.6995896702894835,2.6995896702894835
0,5,90,rw1,COBYLA,rw1,rw1,rw1,0.803304020788307,0.803304020788307,0.803304020788307
0,5,90,rw1_att,COBYLA,rw1_att,rw1_att,rw1_att,0.5211394406968461,0.5211394406968461,0.5211394406968461
0,5,90,rw2_val,COBYLA,rw1,rw1,rw1,2.5766987908871064,2.5766987908871064,2.5766987908871064
0,5,90,ph_basic,COBYLA,rw1,rw1,rw1,4.871634517398367,4.871634517398367,4.871634517398367
0,5,120,rw1,COBYLA,rw2_val,rw2_val,rw2_val,0.549689166975323,0.549689166975323,0.549689166975323
0,5,120,rw1_att,COBYLA,rw1_att,rw1_att,rw1_att,6.253480394251701,6.253480394251701,6.253480394251701
0,5,120,rw2_val,COBYLA,rw2_val,rw2_val,rw2_val,0.52044473788889,0.52044473788889,0.52044473788889
0,5,120,ph_basic,COBYLA,ph_basic,ph_basic,ph_basic,2.3398559527771643,2.3398559527771643,2.3398559527771643
0,5,120,rw1,COBYLA,ph_basic,ph_basic,ph_basic,1.6324807585506338,1.6324807585506338,1.6324807585506338
0,5,120,rw1_att,COBYLA,rw1_att,rw1_att,rw1_att,0.8567101388971674,0.8567101388971674,0.8567101388971674
0,5,120,rw2_val,COBYLA,rw1,rw1,rw1,1.9346713939787288,1.9346713939787288,1.9346713939787288
0,5,120,ph_basic,COBYLA,ph_basic,ph_basic,ph_basic,5.030834566944483,5.030834566944483,5.030834566944483
0,5,150,rw1,COBYLA,rw1,rw1,rw1,0.6781110646937365,0.6781110646937365,0.6781110646937365
0,5,150,rw1_att,COBYLA,rw1_att,rw1_att,rw1_att,4.615972574922156,4.615972574922156,4.615972574922156
0,5,150,rw2_val,COBYLA,rw1,rw1,rw1,1.4462066025798685,1.4462066025798685,1.4462066025798685
0,5,150,ph_basic,COBYLA,ph_basic,ph_basic,ph_basic,3.220980955116737,3.220980955116737,3.220980955116737
0,5,150,rw1,COBYLA,rw2_val,rw2_val,rw2_val,0.6300279234674518,0.6300279234674518,0.6300279234674518
0,5,150,rw1_att,COBYLA,rw2_val,rw2_val,rw1_att,6.517189800626399,6.517189800626399,11.772568329289896
0,5,150,rw2_val,COBYLA,rw2_val,rw2_val,rw2_val,6.092580914560115,6.092580914560115,6.092580914560115
0,5,150,ph_basic,COBYLA,rw2_val,rw2_val,rw1_att,6.36526740097227,6.36526740097227,6.242949709309064
0,10,90,rw1,COBYLA,rw1,rw1,rw1,0.10969719841769213,0.10969719841769213,0.10969719841769213
0,10,90,rw1_att,COBYLA,rw1_att,rw1_att,rw1_att,4.922658050666368,4.922658050666368,4.922658050666368
